Income.Group,Region,Country,Year,Urbanr,AgingPopr,FemLabr,Unemployr,GDPgr,GDPpcapr,FDIGDPr,FDIusdr,HDIr,LEIr,IncIr,EduIr,EPIr,EFIr,ESGcompr
Upper middle income,Latin America & Caribbean,Argentina,1990, 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 
Upper middle income,Latin America & Caribbean,Argentina,1991, 100.34 , 101.12 , 101.27 , 100.00 , 470.18 , 132.35 , 98.98 , 132.84 , 100.99 , 100.38 , 101.83 , 100.64 , 100.00 , 100.00 , 100.42 
Upper middle income,Latin America & Caribbean,Argentina,1992, 100.57 , 102.25 , 102.28 , 118.52 , 421.71 , 157.46 , 149.11 , 177.84 , 101.70 , 100.88 , 103.39 , 100.96 , 100.00 , 100.00 , 100.79 
Upper middle income,Latin America & Caribbean,Argentina,1993, 100.92 , 103.37 , 103.55 , 187.04 , 432.64 , 160.82 , 90.83 , 113.73 , 102.55 , 101.26 , 104.94 , 101.27 , 100.00 , 100.00 , 101.13 
Upper middle income,Latin America & Caribbean,Argentina,1994, 101.15 , 104.49 , 104.57 , 218.52 , 336.55 , 172.68 , 108.71 , 142.82 , 103.11 , 101.64 , 105.78 , 101.75 , 100.00 , 100.00 , 101.38 
Upper middle income,Latin America & Caribbean,Argentina,1995, 101.38 , 105.62 , 104.57 , 348.15 , (115.32), 170.96 , 167.37 , 223.98 , 103.39 , 102.02 , 104.94 , 103.18 , 100.00 , 100.00 , 101.51 
Upper middle income,Latin America & Caribbean,Argentina,1996, 101.61 , 106.74 , 105.33 , 316.67 , 324.01 , 178.18 , 196.57 , 291.27 , 104.38 , 102.39 , 105.78 , 104.94 , 99.75 , 109.85 , 105.08 
Upper middle income,Latin America & Caribbean,Argentina,1997, 101.84 , 107.87 , 106.60 , 274.07 , 428.75 , 189.53 , 240.81 , 299.97 , 105.52 , 102.77 , 107.19 , 106.69 , 100.42 , 107.79 , 105.07 
Upper middle income,Latin America & Caribbean,Argentina,1998, 102.07 , 107.87 , 107.11 , 233.33 , 256.05 , 191.29 , 187.76 , 270.43 , 106.36 , 103.15 , 107.62 , 108.44 , 100.95 , 104.26 , 104.40 
Upper middle income,Latin America & Caribbean,Argentina,1999, 102.30 , 108.99 , 106.85 , 261.11 , (137.22), 179.41 , 651.37 ," 1,212.28 ", 107.92 , 103.40 , 106.63 , 113.85 , 100.68 , 103.82 , 104.81 
Upper middle income,Latin America & Caribbean,Argentina,2000, 102.41 , 108.99 , 106.85 , 277.78 , (31.98), 177.87 , 282.23 , 518.37 , 108.91 , 103.78 , 106.21 , 117.20 , 101.92 , 102.94 , 105.25 
Upper middle income,Latin America & Caribbean,Argentina,2001, 102.64 , 110.11 , 106.60 , 320.37 , (178.70), 166.34 , 62.07 , 109.22 , 109.62 , 104.16 , 104.94 , 120.38 , 104.54 , 100.88 , 105.46 
Upper middle income,Latin America & Caribbean,Argentina,2002, 102.87 , 110.11 , 105.33 , 362.96 , (441.57), 59.85 , 169.30 , 151.20 , 108.91 , 104.53 , 101.69 , 121.34 , 107.75 , 96.62 , 104.49 
Upper middle income,Latin America & Caribbean,Argentina,2003, 103.10 , 110.11 , 106.09 , 285.19 , 458.18 , 77.30 , 99.69 , 47.83 , 109.62 , 104.79 , 103.53 , 121.18 , 109.28 , 82.79 , 100.64 
Upper middle income,Latin America & Caribbean,Argentina,2004, 103.33 , 111.24 , 107.11 , 250.00 , 465.98 , 98.71 , 192.86 , 187.84 , 109.62 , 105.16 , 103.53 , 121.02 , 107.45 , 79.26 , 99.13 
Upper middle income,Latin America & Caribbean,Argentina,2005, 103.45 , 111.24 , 106.09 , 212.96 , 458.77 , 117.92 , 203.97 , 215.37 , 109.90 , 105.54 , 105.08 , 119.59 , 106.18 , 76.03 , 97.90 
Upper middle income,Latin America & Caribbean,Argentina,2006, 103.68 , 111.24 , 106.85 , 187.04 , 426.16 , 136.59 , 183.32 , 168.77 , 113.30 , 105.79 , 108.32 , 126.59 , 102.10 , 78.53 , 99.27 
Upper middle income,Latin America & Caribbean,Argentina,2007, 103.91 , 112.36 , 106.09 , 157.41 , 465.09 , 167.20 , 173.33 , 270.64 , 114.00 , 106.17 , 110.16 , 126.75 , 100.19 , 79.41 , 99.49 
Upper middle income,Latin America & Caribbean,Argentina,2008, 104.02 , 113.48 , 105.33 , 144.44 , 264.45 , 208.17 , 207.09 , 453.96 , 114.57 , 106.42 , 110.86 , 127.55 , 98.92 , 79.71 , 99.56 
Upper middle income,Latin America & Caribbean,Argentina,2009, 104.25 , 113.48 , 106.09 , 159.26 , (239.89), 189.80 , 92.88 , 180.04 , 114.57 , 106.80 , 109.17 , 128.98 , 100.21 , 76.91 , 98.94 
Upper middle income,Latin America & Caribbean,Argentina,2010, 104.37 , 114.61 , 105.08 , 142.59 , 510.40 , 239.67 , 205.96 , 564.70 , 115.70 , 107.05 , 111.00 , 130.25 , 102.68 , 75.29 , 99.45 
Upper middle income,Latin America & Caribbean,Argentina,2011, 104.60 , 115.73 , 105.08 , 133.33 , 343.35 , 296.50 , 157.42 , 509.36 , 116.41 , 107.43 , 112.13 , 131.21 , 106.42 , 76.03 , 100.89 
Upper middle income,Latin America & Caribbean,Argentina,2012, 104.71 , 116.85 , 105.58 , 133.33 , (41.60), 301.90 , 216.08 , 777.18 , 116.41 , 107.68 , 111.71 , 130.89 , 110.54 , 70.59 , 99.97 
Upper middle income,Latin America & Caribbean,Argentina,2013, 104.83 , 117.98 , 105.08 , 131.48 , 197.49 , 301.84 , 136.98 , 486.48 , 116.55 , 108.06 , 111.99 , 130.89 , 114.14 , 68.68 , 100.26 
Upper middle income,Latin America & Caribbean,Argentina,2014, 105.06 , 119.10 , 104.57 , 135.19 , (101.84), 284.64 , 74.10 , 171.29 , 116.69 , 108.31 , 111.28 , 131.53 , 115.14 , 65.59 , 99.50 
Upper middle income,Latin America & Caribbean,Argentina,2015, 105.17 , 120.22 , 105.58 , 144.44 , 210.70 , 318.20 , 152.22 , 592.80 , 117.11 , 108.69 , 111.71 , 132.48 , 116.02 , 64.85 , 99.71 
Upper middle income,Latin America & Caribbean,Argentina,2016, 105.29 , 122.47 , 106.60 , 148.15 , (84.32), 295.15 , 45.02 , 80.26 , 117.11 , 108.94 , 111.00 , 132.80 , 115.96 , 64.41 , 99.53 
Upper middle income,Latin America & Caribbean,Argentina,2017, 105.40 , 123.60 , 107.36 , 153.70 , 208.16 , 336.72 , 137.96 , 564.34 , 117.68 , 109.19 , 111.14 , 134.08 , 114.82 , 74.12 , 102.67 
Upper middle income,Latin America & Caribbean,Argentina,2018, 105.63 , 124.72 , 109.14 , 170.37 , (100.59), 269.62 , 175.83 , 548.51 , 117.40 , 109.57 , 110.16 , 134.08 , 115.43 , 76.91 , 103.62 
Upper middle income,Latin America & Caribbean,Argentina,2019, 105.75 , 125.84 , 109.14 , 181.48 , (87.67), 230.90 , 114.08 , 279.08 ,  NA  ,  NA  ,  NA  ,  NA  , 115.77 , 76.76 ,  NA  
Upper middle income,Europe & Central Asia,Armenia,1990, 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 
Upper middle income,Europe & Central Asia,Armenia,1991, 99.70 , 108.93 , 100.69 , 100.00 , (100.00), 92.52 , 100.00 , 100.00 , 99.37 , 99.86 , 97.78 , 100.47 , 100.00 , 100.00 , 99.76 
Upper middle income,Europe & Central Asia,Armenia,1992, 99.26 , 117.86 , 101.39 , 112.50 , (357.27), 57.95 , 100.00 , 100.00 , 92.42 , 100.14 , 78.19 , 100.47 , 100.00 , 100.00 , 97.21 
Upper middle income,Europe & Central Asia,Armenia,1993, 98.81 , 128.57 , 102.54 , 331.25 , (75.21), 56.00 , 35.31 , 100.00 , 93.21 , 100.68 , 78.93 , 101.57 , 100.00 , 100.00 , 97.57 
Upper middle income,Europe & Central Asia,Armenia,1994, 98.37 , 139.29 , 103.46 , 412.50 , 146.15 , 62.79 , 322.54 ," 1,000.00 ", 94.79 , 101.36 , 83.55 , 100.47 , 100.00 , 100.00 , 98.14 
Upper middle income,Europe & Central Asia,Armenia,1995, 98.07 , 150.00 , 104.62 , 418.75 , 158.97 , 71.55 , 914.36 ," 3,165.00 ", 95.42 , 102.17 , 85.95 , 99.06 , 100.00 , 100.00 , 98.38 
Upper middle income,Europe & Central Asia,Armenia,1996, 97.63 , 157.14 , 105.31 , 581.25 , 150.13 , 79.02 , 583.38 ," 2,196.25 ", 97.00 , 103.12 , 88.72 , 99.37 , 100.22 , 100.00 , 99.04 
Upper middle income,Europe & Central Asia,Armenia,1997, 97.18 , 162.50 , 106.24 , 675.00 , 128.39 , 82.04 ," 1,679.83 "," 6,492.50 ", 98.74 , 104.21 , 90.94 , 101.41 , 99.64 , 110.66 , 102.15 
Upper middle income,Europe & Central Asia,Armenia,1998, 96.74 , 166.07 , 106.93 , 587.50 , 162.39 , 95.50 ," 6,506.47 "," 27,603.63 ", 100.63 , 105.29 , 92.24 , 104.55 , 99.76 , 117.54 , 104.64 
Upper middle income,Europe & Central Asia,Armenia,1999, 96.29 , 171.43 , 107.39 , 700.00 , 128.21 , 93.66 ," 3,506.26 "," 15,254.25 ", 101.74 , 106.38 , 93.35 , 105.81 , 99.83 , 133.65 , 108.95 
Upper middle income,Europe & Central Asia,Armenia,2000, 95.99 , 178.57 , 107.85 , 693.75 , 150.43 , 97.63 ," 2,890.04 "," 13,023.56 ", 102.53 , 107.33 , 95.01 , 105.34 , 99.66 , 149.29 , 112.86 
Upper middle income,Europe & Central Asia,Armenia,2001, 95.55 , 185.71 , 108.08 , 681.25 , 182.05 , 108.87 ," 1,748.77 "," 8,733.56 ", 103.16 , 108.14 , 97.78 , 103.61 , 99.83 , 157.35 , 115.03 
Upper middle income,Europe & Central Asia,Armenia,2002, 95.25 , 194.64 , 107.85 , 681.25 , 212.82 , 122.79 ," 2,470.66 "," 13,840.47 ", 104.74 , 108.82 , 101.66 , 103.61 , 91.00 , 161.14 , 113.91 
Upper middle income,Europe & Central Asia,Armenia,2003, 95.10 , 203.57 , 107.85 , 675.00 , 219.66 , 145.82 ," 2,320.64 "," 15,280.50 ", 106.16 , 109.23 , 105.36 , 103.92 , 89.78 , 159.48 , 113.77 
Upper middle income,Europe & Central Asia,Armenia,2004, 94.96 , 208.93 , 107.62 , 662.50 , 189.74 , 186.86 ," 3,663.91 "," 30,908.11 ", 107.58 , 109.63 , 108.13 , 104.87 , 89.30 , 166.59 , 115.87 
Upper middle income,Europe & Central Asia,Armenia,2005, 94.81 , 212.50 , 107.62 , 650.00 , 218.80 , 257.70 ," 3,160.29 "," 35,835.52 ", 109.64 , 109.91 , 112.38 , 106.59 , 84.12 , 165.40 , 114.94 
Upper middle income,Europe & Central Asia,Armenia,2006, 94.66 , 212.50 , 107.39 , 631.25 , 212.82 , 338.34 ," 3,874.64 "," 55,488.12 ", 111.85 , 110.04 , 116.27 , 109.26 , 82.70 , 167.30 , 115.91 
Upper middle income,Europe & Central Asia,Armenia,2007, 94.51 , 208.93 , 107.39 , 612.50 , 217.09 , 492.16 ," 3,845.48 "," 82,347.48 ", 114.38 , 110.31 , 120.33 , 112.56 , 79.75 , 162.56 , 115.03 
Upper middle income,Europe & Central Asia,Armenia,2008, 94.36 , 205.36 , 107.39 , 843.75 , 158.97 , 628.80 ," 4,290.89 "," 114,153.32 ", 114.85 , 110.58 , 122.55 , 111.77 , 76.83 , 165.64 , 115.09 
Upper middle income,Europe & Central Asia,Armenia,2009, 94.21 , 200.00 , 107.39 ," 1,150.00 ", (120.51), 469.44 ," 4,660.12 "," 88,475.04 ", 114.38 , 110.85 , 117.93 , 114.44 , 79.43 , 165.64 , 115.72 
Upper middle income,Europe & Central Asia,Armenia,2010, 94.07 , 196.43 , 105.77 ," 1,187.50 ", 118.80 , 504.56 ," 3,030.88 "," 62,732.79 ", 115.17 , 111.26 , 118.85 , 115.23 , 82.32 , 163.98 , 116.52 
Upper middle income,Europe & Central Asia,Armenia,2011, 93.92 , 194.64 , 108.78 ," 1,150.00 ", 140.17 , 552.76 ," 3,415.10 "," 54,267.28 ", 115.80 , 111.80 , 119.59 , 115.70 , 84.78 , 165.17 , 117.79 
Upper middle income,Europe & Central Asia,Armenia,2012, 93.77 , 192.86 , 109.01 ," 1,081.25 ", 161.54 , 577.23 ," 2,479.79 "," 59,151.34 ", 116.43 , 112.35 , 121.63 , 115.54 , 85.75 , 163.03 , 117.93 
Upper middle income,Europe & Central Asia,Armenia,2013, 93.77 , 192.86 , 109.01 ," 1,012.50 ", 128.21 , 601.73 ," 1,650.07 "," 39,478.69 ", 117.38 , 112.89 , 122.92 , 116.64 , 87.91 , 164.45 , 119.35 
Upper middle income,Europe & Central Asia,Armenia,2014, 93.62 , 192.86 , 108.78 ," 1,093.75 ", 130.77 , 624.94 ," 1,856.96 "," 47,221.79 ", 117.85 , 113.30 , 123.48 , 117.11 , 90.71 , 163.27 , 120.13 
Upper middle income,Europe & Central Asia,Armenia,2015, 93.62 , 194.64 , 108.31 ," 1,143.75 ", 127.35 , 565.54 , 925.13 ," 19,422.01 ", 118.17 , 113.70 , 124.03 , 117.11 , 90.02 , 159.00 , 119.08 
Upper middle income,Europe & Central Asia,Armenia,2016, 93.62 , 196.43 , 106.47 ," 1,100.00 ", 101.71 , 563.11 ," 1,677.95 "," 32,901.74 ", 118.64 , 114.11 , 123.48 , 118.52 , 89.20 , 158.77 , 119.00 
Upper middle income,Europe & Central Asia,Armenia,2017, 93.62 , 198.21 , 106.70 ," 1,106.25 ", 164.10 , 613.70 ," 1,154.25 "," 27,734.79 ", 119.75 , 114.38 , 125.88 , 119.15 , 89.63 , 166.59 , 121.41 
Upper middle income,Europe & Central Asia,Armenia,2018, 93.62 , 201.79 , 106.70 ," 1,093.75 ", 144.44 , 661.67 ," 1,081.71 "," 30,891.71 ", 120.06 , 114.65 , 126.43 , 119.15 , 90.26 , 162.80 , 120.84 
Upper middle income,Europe & Central Asia,Armenia,2019, 93.77 , 205.36 , 106.70 ," 1,062.50 ", 164.96 , 724.73 , 985.33 ," 49,579.08 ",  NA  ,  NA  ,  NA  ,  NA  , 90.58 , 160.43 ,  NA  
High income,East Asia & Pacific,Australia,1990, 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 
High income,East Asia & Pacific,Australia,1991, 100.00 , 101.80 , 100.48 , 100.00 , (111.13), 103.35 , 29.50 , 48.34 , 100.12 , 100.46 , 99.76 , 100.11 , 100.00 , 100.00 , 100.05 
High income,East Asia & Pacific,Australia,1992, 99.88 , 102.70 , 100.97 , 111.46 , 11.55 , 101.97 , 55.89 , 14.14 , 100.23 , 101.03 , 99.76 , 100.11 , 100.00 , 100.00 , 100.14 
High income,East Asia & Pacific,Australia,1993, 99.77 , 104.50 , 101.21 , 113.54 , 112.85 , 96.83 , 62.66 , 35.37 , 100.69 , 101.48 , 100.35 , 100.23 , 100.00 , 100.00 , 100.32 
High income,East Asia & Pacific,Australia,1994, 99.53 , 105.41 , 102.17 , 101.04 , 111.54 , 99.09 , 50.84 , 33.62 , 101.04 , 101.94 , 100.82 , 100.23 , 100.00 , 100.00 , 100.46 
High income,East Asia & Pacific,Australia,1995, 99.41 , 107.21 , 103.14 , 88.54 , 107.43 , 111.58 , 132.77 , 117.86 , 101.96 , 102.28 , 101.18 , 102.41 , 100.00 , 100.00 , 100.89 
High income,East Asia & Pacific,Australia,1996, 99.30 , 108.11 , 103.62 , 88.54 , 108.63 , 120.04 , 41.89 , (105.64), 102.31 , 102.74 , 101.65 , 102.52 , 100.24 , 99.87 , 101.07 
High income,East Asia & Pacific,Australia,1997, 99.06 , 109.01 , 103.62 , 87.50 , 111.09 , 128.87 , 68.39 , 25.66 , 102.66 , 103.20 , 102.12 , 102.52 , 100.10 , 101.89 , 101.77 
High income,East Asia & Pacific,Australia,1998, 98.95 , 109.01 , 104.11 , 80.21 , 128.18 , 117.06 , 69.99 , 37.47 , 103.00 , 103.65 , 102.83 , 102.52 , 100.13 , 102.02 , 101.99 
High income,East Asia & Pacific,Australia,1999, 98.83 , 109.91 , 104.35 , 71.88 , 142.09 , 112.75 , 20.91 , 24.26 , 103.35 , 104.11 , 103.53 , 102.52 , 100.23 , 103.10 , 102.51 
High income,East Asia & Pacific,Australia,2000, 98.59 , 110.81 , 105.31 , 65.63 , 110.15 , 119.04 , 131.79 , 138.00 , 103.70 , 104.68 , 104.00 , 102.52 , 98.13 , 104.05 , 102.41 
High income,East Asia & Pacific,Australia,2001, 98.48 , 111.71 , 106.04 , 69.79 , 54.08 , 107.03 , 104.08 , (134.04), 103.93 , 105.14 , 104.12 , 102.63 , 96.44 , 104.45 , 102.21 
High income,East Asia & Pacific,Australia,2002, 98.59 , 112.61 , 106.52 , 66.67 , 112.06 , 110.28 , 136.46 , 98.18 , 104.27 , 105.71 , 104.59 , 102.52 , 95.68 , 104.32 , 102.11 
High income,East Asia & Pacific,Australia,2003, 98.71 , 113.51 , 107.25 , 61.46 , 83.63 , 128.75 , 70.78 , (222.85), 104.39 , 106.16 , 104.83 , 102.29 , 98.86 , 104.45 , 103.03 
High income,East Asia & Pacific,Australia,2004, 98.95 , 114.41 , 107.00 , 56.25 , 113.58 , 167.10 , 257.41 , 423.32 , 104.73 , 106.62 , 105.42 , 102.18 , 99.69 , 105.13 , 103.58 
High income,East Asia & Pacific,Australia,2005, 99.06 , 116.22 , 107.97 , 52.08 , 89.74 , 186.69 , (232.97), 97.39 , 104.16 , 107.08 , 105.54 , 100.00 , 102.44 , 106.61 , 104.46 
High income,East Asia & Pacific,Australia,2006, 99.18 , 116.22 , 108.21 , 50.00 , 78.27 , 197.93 , 150.47 , 82.69 , 104.50 , 107.42 , 105.77 , 100.34 , 104.07 , 107.83 , 105.37 
High income,East Asia & Pacific,Australia,2007, 99.30 , 117.12 , 108.45 , 45.83 , 107.67 , 224.92 , 191.41 , 383.66 , 104.85 , 107.76 , 106.12 , 100.69 , 106.23 , 109.45 , 106.54 
High income,East Asia & Pacific,Australia,2008, 99.41 , 118.02 , 108.70 , 43.75 , 102.44 , 272.37 , 157.44 , 169.62 , 106.47 , 108.11 , 106.48 , 104.70 , 106.58 , 110.93 , 107.78 
High income,East Asia & Pacific,Australia,2009, 99.65 , 118.92 , 109.18 , 58.33 , 54.25 , 234.87 , 113.60 , 220.05 , 106.58 , 108.45 , 106.60 , 104.93 , 107.31 , 111.47 , 108.23 
High income,East Asia & Pacific,Australia,2010, 99.77 , 120.72 , 108.94 , 54.17 , 57.90 , 285.66 , 112.88 , 219.08 , 106.93 , 108.79 , 106.60 , 105.27 , 108.22 , 111.47 , 108.56 
High income,East Asia & Pacific,Australia,2011, 99.88 , 122.52 , 109.42 , 53.13 , 68.97 , 343.29 , 172.47 , 732.35 , 107.16 , 109.13 , 106.71 , 105.61 , 108.75 , 111.34 , 108.78 
High income,East Asia & Pacific,Australia,2012, 100.00 , 125.23 , 109.66 , 54.17 , 109.73 , 373.46 , 136.77 , 661.82 , 107.62 , 109.36 , 107.30 , 106.30 , 105.65 , 112.15 , 108.46 
High income,East Asia & Pacific,Australia,2013, 100.12 , 128.83 , 110.14 , 59.38 , 72.39 , 374.22 , 125.88 , 699.94 , 106.93 , 109.70 , 107.54 , 103.78 , 109.98 , 111.47 , 109.06 
High income,East Asia & Pacific,Australia,2014, 100.23 , 131.53 , 110.39 , 63.54 , 70.94 , 343.25 , 158.24 , 519.26 , 107.27 , 110.05 , 107.77 , 104.01 , 111.98 , 110.66 , 109.45 
High income,East Asia & Pacific,Australia,2015, 100.35 , 134.23 , 110.87 , 63.54 , 61.41 , 311.65 , 127.47 , 493.73 , 107.74 , 110.27 , 108.01 , 105.15 , 115.07 , 109.85 , 110.24 
High income,East Asia & Pacific,Australia,2016, 100.47 , 136.04 , 111.59 , 59.38 , 77.60 , 274.40 , 130.65 , 587.98 , 107.97 , 110.62 , 108.13 , 105.27 , 117.66 , 108.37 , 110.55 
High income,East Asia & Pacific,Australia,2017, 100.59 , 138.74 , 111.84 , 58.33 , 66.31 , 296.88 , 131.33 , 501.09 , 108.20 , 110.84 , 108.24 , 105.73 , 118.58 , 109.31 , 111.18 
