"Income.Group","Region","Country","Year","Urbanr","AgingPopr","FemLabr","Unemployr","GDPgr","GDPpcapr","FDIGDPr","FDIusdr","HDIr","LEIr","IncIr","EduIr","EPIr","EFIr","ESGcompr"
"Upper middle income","Latin America & Caribbean","Argentina",1993,100.92,103.37,103.55,187.04,432.64,160.82,90.83,113.73,102.55,101.26,104.94,101.27,100,100,101.13
"Upper middle income","Latin America & Caribbean","Argentina",1994,101.15,104.49,104.57,218.52,336.55,172.68,108.71,142.82,103.11,101.64,105.78,101.75,100,100,101.38
"Upper middle income","Latin America & Caribbean","Argentina",1995,101.38,105.62,104.57,348.15,-115.32,170.96,167.37,223.98,103.39,102.02,104.94,103.18,100,100,101.51
"Upper middle income","Latin America & Caribbean","Argentina",1996,101.61,106.74,105.33,316.67,324.01,178.18,196.57,291.27,104.38,102.39,105.78,104.94,99.75,109.85,105.08
"Upper middle income","Latin America & Caribbean","Argentina",1997,101.84,107.87,106.6,274.07,428.75,189.53,240.81,299.97,105.52,102.77,107.19,106.69,100.42,107.79,105.07
"Upper middle income","Latin America & Caribbean","Argentina",1998,102.07,107.87,107.11,233.33,256.05,191.29,187.76,270.43,106.36,103.15,107.62,108.44,100.95,104.26,104.4
"Upper middle income","Latin America & Caribbean","Argentina",1999,102.3,108.99,106.85,261.11,-137.22,179.41,651.37,1212.28,107.92,103.4,106.63,113.85,100.68,103.82,104.81
"Upper middle income","Latin America & Caribbean","Argentina",2000,102.41,108.99,106.85,277.78,-31.98,177.87,282.23,518.37,108.91,103.78,106.21,117.2,101.92,102.94,105.25
"Upper middle income","Latin America & Caribbean","Argentina",2001,102.64,110.11,106.6,320.37,-178.7,166.34,62.07,109.22,109.62,104.16,104.94,120.38,104.54,100.88,105.46
"Upper middle income","Latin America & Caribbean","Argentina",2002,102.87,110.11,105.33,362.96,-441.57,59.85,169.3,151.2,108.91,104.53,101.69,121.34,107.75,96.62,104.49
"Upper middle income","Latin America & Caribbean","Argentina",2003,103.1,110.11,106.09,285.19,458.18,77.3,99.69,47.83,109.62,104.79,103.53,121.18,109.28,82.79,100.64
"Upper middle income","Latin America & Caribbean","Argentina",2004,103.33,111.24,107.11,250,465.98,98.71,192.86,187.84,109.62,105.16,103.53,121.02,107.45,79.26,99.13
"Upper middle income","Latin America & Caribbean","Argentina",2005,103.45,111.24,106.09,212.96,458.77,117.92,203.97,215.37,109.9,105.54,105.08,119.59,106.18,76.03,97.9
"Upper middle income","Latin America & Caribbean","Argentina",2006,103.68,111.24,106.85,187.04,426.16,136.59,183.32,168.77,113.3,105.79,108.32,126.59,102.1,78.53,99.27
"Upper middle income","Latin America & Caribbean","Argentina",2007,103.91,112.36,106.09,157.41,465.09,167.2,173.33,270.64,114,106.17,110.16,126.75,100.19,79.41,99.49
"Upper middle income","Latin America & Caribbean","Argentina",2008,104.02,113.48,105.33,144.44,264.45,208.17,207.09,453.96,114.57,106.42,110.86,127.55,98.92,79.71,99.56
"Upper middle income","Latin America & Caribbean","Argentina",2009,104.25,113.48,106.09,159.26,-239.89,189.8,92.88,180.04,114.57,106.8,109.17,128.98,100.21,76.91,98.94
"Upper middle income","Latin America & Caribbean","Argentina",2010,104.37,114.61,105.08,142.59,510.4,239.67,205.96,564.7,115.7,107.05,111,130.25,102.68,75.29,99.45
"Upper middle income","Latin America & Caribbean","Argentina",2011,104.6,115.73,105.08,133.33,343.35,296.5,157.42,509.36,116.41,107.43,112.13,131.21,106.42,76.03,100.89
"Upper middle income","Latin America & Caribbean","Argentina",2012,104.71,116.85,105.58,133.33,-41.6,301.9,216.08,777.18,116.41,107.68,111.71,130.89,110.54,70.59,99.97
"Upper middle income","Latin America & Caribbean","Argentina",2013,104.83,117.98,105.08,131.48,197.49,301.84,136.98,486.48,116.55,108.06,111.99,130.89,114.14,68.68,100.26
"Upper middle income","Latin America & Caribbean","Argentina",2014,105.06,119.1,104.57,135.19,-101.84,284.64,74.1,171.29,116.69,108.31,111.28,131.53,115.14,65.59,99.5
"Upper middle income","Latin America & Caribbean","Argentina",2015,105.17,120.22,105.58,144.44,210.7,318.2,152.22,592.8,117.11,108.69,111.71,132.48,116.02,64.85,99.71
"Upper middle income","Latin America & Caribbean","Argentina",2016,105.29,122.47,106.6,148.15,-84.32,295.15,45.02,80.26,117.11,108.94,111,132.8,115.96,64.41,99.53
"Upper middle income","Latin America & Caribbean","Argentina",2017,105.4,123.6,107.36,153.7,208.16,336.72,137.96,564.34,117.68,109.19,111.14,134.08,114.82,74.12,102.67
"Upper middle income","Latin America & Caribbean","Argentina",2018,105.63,124.72,109.14,170.37,-100.59,269.62,175.83,548.51,117.4,109.57,110.16,134.08,115.43,76.91,103.62
"Upper middle income","Latin America & Caribbean","Argentina",2019,105.75,125.84,109.14,181.48,-87.67,230.9,114.08,279.08,NA,NA,NA,NA,115.77,76.76,NA
"Upper middle income","Europe & Central Asia","Armenia",1990,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Upper middle income","Europe & Central Asia","Armenia",1991,99.7,108.93,100.69,100,-100,92.52,100,100,99.37,99.86,97.78,100.47,100,100,99.76
"Upper middle income","Europe & Central Asia","Armenia",1992,99.26,117.86,101.39,112.5,-357.27,57.95,100,100,92.42,100.14,78.19,100.47,100,100,97.21
"Upper middle income","Europe & Central Asia","Armenia",1993,98.81,128.57,102.54,331.25,-75.21,56,35.31,100,93.21,100.68,78.93,101.57,100,100,97.57
"Upper middle income","Europe & Central Asia","Armenia",1994,98.37,139.29,103.46,412.5,146.15,62.79,322.54,1000,94.79,101.36,83.55,100.47,100,100,98.14
"Upper middle income","Europe & Central Asia","Armenia",1995,98.07,150,104.62,418.75,158.97,71.55,914.36,3165,95.42,102.17,85.95,99.06,100,100,98.38
"Upper middle income","Europe & Central Asia","Armenia",1996,97.63,157.14,105.31,581.25,150.13,79.02,583.38,2196.25,97,103.12,88.72,99.37,100.22,100,99.04
"Upper middle income","Europe & Central Asia","Armenia",1997,97.18,162.5,106.24,675,128.39,82.04,1679.83,6492.5,98.74,104.21,90.94,101.41,99.64,110.66,102.15
"Upper middle income","Europe & Central Asia","Armenia",1998,96.74,166.07,106.93,587.5,162.39,95.5,6506.47,27603.63,100.63,105.29,92.24,104.55,99.76,117.54,104.64
"Upper middle income","Europe & Central Asia","Armenia",1999,96.29,171.43,107.39,700,128.21,93.66,3506.26,15254.25,101.74,106.38,93.35,105.81,99.83,133.65,108.95
"Upper middle income","Europe & Central Asia","Armenia",2000,95.99,178.57,107.85,693.75,150.43,97.63,2890.04,13023.56,102.53,107.33,95.01,105.34,99.66,149.29,112.86
"Upper middle income","Europe & Central Asia","Armenia",2001,95.55,185.71,108.08,681.25,182.05,108.87,1748.77,8733.56,103.16,108.14,97.78,103.61,99.83,157.35,115.03
"Upper middle income","Europe & Central Asia","Armenia",2002,95.25,194.64,107.85,681.25,212.82,122.79,2470.66,13840.47,104.74,108.82,101.66,103.61,91,161.14,113.91
"Upper middle income","Europe & Central Asia","Armenia",2003,95.1,203.57,107.85,675,219.66,145.82,2320.64,15280.5,106.16,109.23,105.36,103.92,89.78,159.48,113.77
"Upper middle income","Europe & Central Asia","Armenia",2004,94.96,208.93,107.62,662.5,189.74,186.86,3663.91,30908.11,107.58,109.63,108.13,104.87,89.3,166.59,115.87
"Upper middle income","Europe & Central Asia","Armenia",2005,94.81,212.5,107.62,650,218.8,257.7,3160.29,35835.52,109.64,109.91,112.38,106.59,84.12,165.4,114.94
"Upper middle income","Europe & Central Asia","Armenia",2006,94.66,212.5,107.39,631.25,212.82,338.34,3874.64,55488.12,111.85,110.04,116.27,109.26,82.7,167.3,115.91
"Upper middle income","Europe & Central Asia","Armenia",2007,94.51,208.93,107.39,612.5,217.09,492.16,3845.48,82347.48,114.38,110.31,120.33,112.56,79.75,162.56,115.03
"Upper middle income","Europe & Central Asia","Armenia",2008,94.36,205.36,107.39,843.75,158.97,628.8,4290.89,114153.32,114.85,110.58,122.55,111.77,76.83,165.64,115.09
"Upper middle income","Europe & Central Asia","Armenia",2009,94.21,200,107.39,1150,-120.51,469.44,4660.12,88475.04,114.38,110.85,117.93,114.44,79.43,165.64,115.72
"Upper middle income","Europe & Central Asia","Armenia",2010,94.07,196.43,105.77,1187.5,118.8,504.56,3030.88,62732.79,115.17,111.26,118.85,115.23,82.32,163.98,116.52
"Upper middle income","Europe & Central Asia","Armenia",2011,93.92,194.64,108.78,1150,140.17,552.76,3415.1,54267.28,115.8,111.8,119.59,115.7,84.78,165.17,117.79
"Upper middle income","Europe & Central Asia","Armenia",2012,93.77,192.86,109.01,1081.25,161.54,577.23,2479.79,59151.34,116.43,112.35,121.63,115.54,85.75,163.03,117.93
"Upper middle income","Europe & Central Asia","Armenia",2013,93.77,192.86,109.01,1012.5,128.21,601.73,1650.07,39478.69,117.38,112.89,122.92,116.64,87.91,164.45,119.35
"Upper middle income","Europe & Central Asia","Armenia",2014,93.62,192.86,108.78,1093.75,130.77,624.94,1856.96,47221.79,117.85,113.3,123.48,117.11,90.71,163.27,120.13
"Upper middle income","Europe & Central Asia","Armenia",2015,93.62,194.64,108.31,1143.75,127.35,565.54,925.13,19422.01,118.17,113.7,124.03,117.11,90.02,159,119.08
"Upper middle income","Europe & Central Asia","Armenia",2016,93.62,196.43,106.47,1100,101.71,563.11,1677.95,32901.74,118.64,114.11,123.48,118.52,89.2,158.77,119
"Upper middle income","Europe & Central Asia","Armenia",2017,93.62,198.21,106.7,1106.25,164.1,613.7,1154.25,27734.79,119.75,114.38,125.88,119.15,89.63,166.59,121.41
"Upper middle income","Europe & Central Asia","Armenia",2018,93.62,201.79,106.7,1093.75,144.44,661.67,1081.71,30891.71,120.06,114.65,126.43,119.15,90.26,162.8,120.84
"Upper middle income","Europe & Central Asia","Armenia",2019,93.77,205.36,106.7,1062.5,164.96,724.73,985.33,49579.08,NA,NA,NA,NA,90.58,160.43,NA
"High income","East Asia & Pacific","Australia",1990,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"High income","East Asia & Pacific","Australia",1991,100,101.8,100.48,100,-111.13,103.35,29.5,48.34,100.12,100.46,99.76,100.11,100,100,100.05
"High income","East Asia & Pacific","Australia",1992,99.88,102.7,100.97,111.46,11.55,101.97,55.89,14.14,100.23,101.03,99.76,100.11,100,100,100.14
"High income","East Asia & Pacific","Australia",1993,99.77,104.5,101.21,113.54,112.85,96.83,62.66,35.37,100.69,101.48,100.35,100.23,100,100,100.32
"High income","East Asia & Pacific","Australia",1994,99.53,105.41,102.17,101.04,111.54,99.09,50.84,33.62,101.04,101.94,100.82,100.23,100,100,100.46
"High income","East Asia & Pacific","Australia",1995,99.41,107.21,103.14,88.54,107.43,111.58,132.77,117.86,101.96,102.28,101.18,102.41,100,100,100.89
"High income","East Asia & Pacific","Australia",1996,99.3,108.11,103.62,88.54,108.63,120.04,41.89,-105.64,102.31,102.74,101.65,102.52,100.24,99.87,101.07
"High income","East Asia & Pacific","Australia",1997,99.06,109.01,103.62,87.5,111.09,128.87,68.39,25.66,102.66,103.2,102.12,102.52,100.1,101.89,101.77
"High income","East Asia & Pacific","Australia",1998,98.95,109.01,104.11,80.21,128.18,117.06,69.99,37.47,103,103.65,102.83,102.52,100.13,102.02,101.99
"High income","East Asia & Pacific","Australia",1999,98.83,109.91,104.35,71.88,142.09,112.75,20.91,24.26,103.35,104.11,103.53,102.52,100.23,103.1,102.51
"High income","East Asia & Pacific","Australia",2000,98.59,110.81,105.31,65.63,110.15,119.04,131.79,138,103.7,104.68,104,102.52,98.13,104.05,102.41
"High income","East Asia & Pacific","Australia",2001,98.48,111.71,106.04,69.79,54.08,107.03,104.08,-134.04,103.93,105.14,104.12,102.63,96.44,104.45,102.21
"High income","East Asia & Pacific","Australia",2002,98.59,112.61,106.52,66.67,112.06,110.28,136.46,98.18,104.27,105.71,104.59,102.52,95.68,104.32,102.11
"High income","East Asia & Pacific","Australia",2003,98.71,113.51,107.25,61.46,83.63,128.75,70.78,-222.85,104.39,106.16,104.83,102.29,98.86,104.45,103.03
"High income","East Asia & Pacific","Australia",2004,98.95,114.41,107,56.25,113.58,167.1,257.41,423.32,104.73,106.62,105.42,102.18,99.69,105.13,103.58
"High income","East Asia & Pacific","Australia",2005,99.06,116.22,107.97,52.08,89.74,186.69,-232.97,97.39,104.16,107.08,105.54,100,102.44,106.61,104.46
"High income","East Asia & Pacific","Australia",2006,99.18,116.22,108.21,50,78.27,197.93,150.47,82.69,104.5,107.42,105.77,100.34,104.07,107.83,105.37
"High income","East Asia & Pacific","Australia",2007,99.3,117.12,108.45,45.83,107.67,224.92,191.41,383.66,104.85,107.76,106.12,100.69,106.23,109.45,106.54
"High income","East Asia & Pacific","Australia",2008,99.41,118.02,108.7,43.75,102.44,272.37,157.44,169.62,106.47,108.11,106.48,104.7,106.58,110.93,107.78
"High income","East Asia & Pacific","Australia",2009,99.65,118.92,109.18,58.33,54.25,234.87,113.6,220.05,106.58,108.45,106.6,104.93,107.31,111.47,108.23
"High income","East Asia & Pacific","Australia",2010,99.77,120.72,108.94,54.17,57.9,285.66,112.88,219.08,106.93,108.79,106.6,105.27,108.22,111.47,108.56
"High income","East Asia & Pacific","Australia",2011,99.88,122.52,109.42,53.13,68.97,343.29,172.47,732.35,107.16,109.13,106.71,105.61,108.75,111.34,108.78
"High income","East Asia & Pacific","Australia",2012,100,125.23,109.66,54.17,109.73,373.46,136.77,661.82,107.62,109.36,107.3,106.3,105.65,112.15,108.46
"High income","East Asia & Pacific","Australia",2013,100.12,128.83,110.14,59.38,72.39,374.22,125.88,699.94,106.93,109.7,107.54,103.78,109.98,111.47,109.06
"High income","East Asia & Pacific","Australia",2014,100.23,131.53,110.39,63.54,70.94,343.25,158.24,519.26,107.27,110.05,107.77,104.01,111.98,110.66,109.45
"High income","East Asia & Pacific","Australia",2015,100.35,134.23,110.87,63.54,61.41,311.65,127.47,493.73,107.74,110.27,108.01,105.15,115.07,109.85,110.24
"High income","East Asia & Pacific","Australia",2016,100.47,136.04,111.59,59.38,77.6,274.4,130.65,587.98,107.97,110.62,108.13,105.27,117.66,108.37,110.55
"High income","East Asia & Pacific","Australia",2017,100.59,138.74,111.84,58.33,66.31,296.88,131.33,501.09,108.2,110.84,108.24,105.73,118.58,109.31,111.18
"High income","East Asia & Pacific","Australia",2018,100.7,141.44,112.32,55.21,82.35,315.17,156.52,777.84,108.31,111.19,108.36,105.73,118.88,109.18,111.29
"High income","East Asia & Pacific","Australia",2019,100.82,143.24,112.32,55.21,53.12,301.5,105.73,423.26,NA,NA,NA,NA,119.07,109.18,NA
"Lower middle income","South Asia","Bangladesh",1990,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Lower middle income","South Asia","Bangladesh",1991,102.53,103.23,100.49,100,61.99,95.72,43.82,42.93,101.8,101.7,100.51,103.59,100,100,100.75
"Lower middle income","South Asia","Bangladesh",1992,104.04,103.23,101.46,104.55,96.81,95.88,114.51,114.92,103.87,103.74,101.78,106.77,100,100,101.65
"Lower middle income","South Asia","Bangladesh",1993,106.06,106.45,102.44,109.09,83.8,98.13,413.29,433.8,105.93,105.61,102.79,109.96,100,100,102.47
"Lower middle income","South Asia","Bangladesh",1994,107.58,106.45,103.41,109.09,69.19,97.8,322.08,344.2,107.99,107.82,103.55,113.15,100,100,103.33
"Lower middle income","South Asia","Bangladesh",1995,109.6,109.68,104.39,113.64,91.09,107.56,48.77,58.55,110.05,109.86,104.57,116.33,100,100,104.19
"Lower middle income","South Asia","Bangladesh",1996,111.62,112.9,105.37,113.64,80.45,128.88,284.25,417.74,112.37,111.9,105.33,120.72,100.13,124.94,113.36
"Lower middle income","South Asia","Bangladesh",1997,113.13,116.13,106.34,122.73,79.86,131.09,2818.55,4208.7,114.43,113.95,106.35,124.7,100.52,122,113.41
"Lower middle income","South Asia","Bangladesh",1998,115.15,119.35,107.8,131.82,92.08,133.03,3709.68,5775.54,116.75,115.82,107.36,129.08,100.53,127.14,116.03
"Lower middle income","South Asia","Bangladesh",1999,117.17,122.58,108.78,140.91,83.07,133.72,3417.65,5545.39,119.07,117.35,108.38,133.07,100.72,122.25,115.29
"Lower middle income","South Asia","Bangladesh",2000,119.19,125.81,110.24,150,94.15,136.5,5125.56,8657.1,121.13,118.88,109.64,137.05,102.34,119.56,115.63
"Lower middle income","South Asia","Bangladesh",2001,121.72,125.81,111.22,163.64,90.31,135.51,1418.99,2424.59,123.45,120.24,110.91,141.43,103.4,125.18,118.59
"Lower middle income","South Asia","Bangladesh",2002,125.25,129.03,112.2,181.82,68.18,134.88,932.5,1533.37,125,121.43,111.93,144.22,103.37,126.89,119.79
"Lower middle income","South Asia","Bangladesh",2003,128.28,132.26,113.17,195.45,84.3,145.73,4350.9,8197.76,126.8,122.62,112.94,147.41,105.87,120.54,118.95
"Lower middle income","South Asia","Bangladesh",2004,131.82,135.48,114.15,195.45,93.19,155.19,6726.66,13734.69,128.61,123.81,114.47,150.6,108.15,122.25,120.79
"Lower middle income","South Asia","Bangladesh",2005,135.35,138.71,115.12,195.45,116.25,163.08,11426.6,25052.08,130.41,125,116.5,153.39,105.81,116.14,119.03
"Lower middle income","South Asia","Bangladesh",2006,138.89,141.94,115.61,163.64,118.67,166.4,6201.63,13984.53,132.47,126.19,118.78,155.78,103.18,129.34,123.56
"Lower middle income","South Asia","Bangladesh",2007,142.42,145.16,118.54,177.27,125.55,182.21,7978.21,15955.58,134.28,127.21,121.32,157.37,102.87,114.18,119.21
"Lower middle income","South Asia","Bangladesh",2008,146.46,148.39,120.98,195.45,106.96,207.33,14144.1,35129.33,135.05,128.4,123.35,155.78,104.1,108.07,117.87
"Lower middle income","South Asia","Bangladesh",2009,150,151.61,123.41,227.27,89.73,229.3,8580.56,22244.71,137.89,129.42,124.87,162.95,105.89,116.14,122.01
"Lower middle income","South Asia","Bangladesh",2010,154.04,154.84,125.85,154.55,99.1,255.05,10428.79,35995.52,141.49,130.44,126.65,172.11,106.94,124.94,126.44
"Lower middle income","South Asia","Bangladesh",2011,157.58,158.06,128.29,168.18,114.98,281.37,9592.01,29865.89,144.07,131.46,128.68,177.69,105.94,129.58,128.74
"Lower middle income","South Asia","Bangladesh",2012,161.62,161.29,130.73,186.36,115.99,288.34,11591.42,39994.81,146.13,132.48,130.71,181.67,105.25,130.07,129.6
"Lower middle income","South Asia","Bangladesh",2013,165.66,161.29,133.17,200,106.96,320.58,16931.17,63483.3,147.42,133.33,132.49,182.07,106.02,128.61,129.76
"Lower middle income","South Asia","Bangladesh",2014,169.19,164.52,135.61,200,107.8,365.32,14329.12,77109.9,147.42,134.01,133.76,179.68,106.54,132.27,131.2
"Lower middle income","South Asia","Bangladesh",2015,173.23,164.52,138.05,200,116.55,407.63,14159.12,85564.62,151.55,134.86,135.53,190.84,104.87,131.78,132.08
"Lower middle income","South Asia","Bangladesh",2016,177.27,164.52,140.49,195.45,126.52,457.64,10278.71,70773.79,154.38,135.54,137.56,197.61,104.19,130.32,132.48
"Lower middle income","South Asia","Bangladesh",2017,181.31,164.52,147.32,200,129.56,510.63,7073.24,51984.17,156.96,136.22,139.34,204.38,104.55,134.47,134.93
"Lower middle income","South Asia","Bangladesh",2018,184.85,167.74,147.8,195.45,139.87,554.53,8621.39,74176.55,158.25,136.9,141.88,204.38,104.56,134.72,135.52
"Lower middle income","South Asia","Bangladesh",2019,188.89,167.74,148.78,190.91,145.01,605.92,6458.82,61175.8,NA,NA,NA,NA,104.94,135.94,NA
"High income","Latin America & Caribbean","Barbados",1990,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"High income","Latin America & Caribbean","Barbados",1991,98.93,100.97,100.85,100,-117.91,100.05,65.94,62.41,100.14,100.36,99.19,101.12,100,100,100.08
"High income","Latin America & Caribbean","Barbados",1992,97.86,102.91,100.85,109.05,-172.1,96.54,132.5,138.59,100.14,100.71,97.72,102.24,100,100,100.06
"High income","Latin America & Caribbean","Barbados",1993,97.06,103.88,101.28,116.67,123.98,101.4,81.77,69.32,100.68,101.07,97.85,103.36,100,100,100.29
"High income","Latin America & Caribbean","Barbados",1994,95.99,105.83,101.71,109.52,160.79,105.32,108.01,120.75,101.5,101.54,98.52,104.48,100,100,100.63
"High income","Latin America & Caribbean","Barbados",1995,95.19,106.8,102.14,93.81,160.89,108.1,516.43,616.55,102.05,102.02,98.66,105.6,100,100,100.88
"High income","Latin America & Caribbean","Barbados",1996,94.12,108.74,104.49,70,220.22,114.78,120.23,125.2,102.6,102.61,99.33,106.4,99.99,100,101.2
"High income","Latin America & Caribbean","Barbados",1997,93.32,110.68,102.99,69.52,243.31,120.81,202.57,275.17,103.42,103.09,100.27,107.04,100,103.53,102.56
"High income","Latin America & Caribbean","Barbados",1998,92.25,112.62,103.21,59.05,212.72,135.64,185.75,287.47,103.28,103.56,100.94,105.6,99.8,108.99,104.12
"High income","Latin America & Caribbean","Barbados",1999,91.44,114.56,103.21,50.48,110.12,141.54,288.99,471.19,104.37,104.04,100.81,108.48,99.97,107.06,104.03
"High income","Latin America & Caribbean","Barbados",2000,90.37,117.48,103.42,44.76,234.45,146.13,432.24,518.32,105.33,104.39,101.61,110.4,96.36,111.56,104.93
"High income","Latin America & Caribbean","Barbados",2001,89.84,118.45,103.42,47.14,-71.52,145.36,537.56,671.77,105.19,104.87,100.94,110.4,90.03,114.77,104.34
"High income","Latin America & Caribbean","Barbados",2002,89.3,118.45,103.42,49.05,123.81,147.34,1318.99,2072.36,105.74,105.11,101.08,111.52,88.36,118.14,105.15
"High income","Latin America & Caribbean","Barbados",2003,88.77,119.42,103.63,52.38,165.77,151.72,1032.66,1627.07,106.28,105.34,101.34,112.64,84.58,114.45,103.38
"High income","Latin America & Caribbean","Barbados",2004,88.24,120.39,103.85,45.71,142.68,162.26,1189.51,1780.98,106.83,105.58,101.75,113.76,87.38,111.4,103.41
"High income","Latin America & Caribbean","Barbados",2005,87.7,121.36,104.06,43.33,219.59,179.25,1832.53,2376.21,107.38,105.82,102.15,114.88,89.58,112.52,104.52
"High income","Latin America & Caribbean","Barbados",2006,87.17,122.33,104.27,41.43,278.46,197.11,1456.24,3034.86,108.06,105.94,102.82,116,93.25,115.41,106.52
