"Income.Group","Region","Country","Year","Indicator","Value"
"High income","North America","Canada",2012,"EduIr",106.95
"High income","North America","Canada",2012,"EPIr",120.14
"High income","North America","Canada",2012,"EFIr",115.13
"High income","North America","Canada",2012,"ESGcompr",112.42
"High income","North America","Canada",2013,"Urbanr",106.01
"High income","North America","Canada",2013,"AgingPopr",134.51
"High income","North America","Canada",2013,"FemLabr",107.26
"High income","North America","Canada",2013,"Unemployr",68.93
"High income","North America","Canada",2013,"GDPgr",1414.4
"High income","North America","Canada",2013,"GDPpcapr",245.49
"High income","North America","Canada",2013,"FDIGDPr",256.51
"High income","North America","Canada",2013,"FDIusdr",534.31
"High income","North America","Canada",2013,"HDIr",107.06
"High income","North America","Canada",2013,"LEIr",107.82
"High income","North America","Canada",2013,"IncIr",105.56
"High income","North America","Canada",2013,"EduIr",107.69
"High income","North America","Canada",2013,"EPIr",121.36
"High income","North America","Canada",2013,"EFIr",114.41
"High income","North America","Canada",2013,"ESGcompr",112.7
"High income","North America","Canada",2014,"Urbanr",106.01
"High income","North America","Canada",2014,"AgingPopr",138.05
"High income","North America","Canada",2014,"FemLabr",107.03
"High income","North America","Canada",2014,"Unemployr",66.99
"High income","North America","Canada",2014,"GDPgr",1742.87
"High income","North America","Canada",2014,"GDPpcapr",237.28
"High income","North America","Canada",2014,"FDIGDPr",251.54
"High income","North America","Canada",2014,"FDIusdr",-134.24
"High income","North America","Canada",2014,"HDIr",107.53
"High income","North America","Canada",2014,"LEIr",108.05
"High income","North America","Canada",2014,"IncIr",105.79
"High income","North America","Canada",2014,"EduIr",108.93
"High income","North America","Canada",2014,"EPIr",120.73
"High income","North America","Canada",2014,"EFIr",115.56
"High income","North America","Canada",2014,"ESGcompr",113.12
"High income","North America","Canada",2015,"Urbanr",106.14
"High income","North America","Canada",2015,"AgingPopr",142.48
"High income","North America","Canada",2015,"FemLabr",106.8
"High income","North America","Canada",2015,"Unemployr",66.99
"High income","North America","Canada",2015,"GDPgr",400.3
"High income","North America","Canada",2015,"GDPpcapr",203.21
"High income","North America","Canada",2015,"FDIGDPr",272.5
"High income","North America","Canada",2015,"FDIusdr",-1117.62
"High income","North America","Canada",2015,"HDIr",107.88
"High income","North America","Canada",2015,"LEIr",108.16
"High income","North America","Canada",2015,"IncIr",105.79
"High income","North America","Canada",2015,"EduIr",109.8
"High income","North America","Canada",2015,"EPIr",120.21
"High income","North America","Canada",2015,"EFIr",113.98
"High income","North America","Canada",2015,"ESGcompr",112.69
"High income","North America","Canada",2016,"Urbanr",106.14
"High income","North America","Canada",2016,"AgingPopr",146.02
"High income","North America","Canada",2016,"FemLabr",107.03
"High income","North America","Canada",2016,"Unemployr",67.96
"High income","North America","Canada",2016,"GDPgr",608.11
"High income","North America","Canada",2016,"GDPpcapr",197.32
"High income","North America","Canada",2016,"FDIGDPr",158.21
"High income","North America","Canada",2016,"FDIusdr",-1520.65
"High income","North America","Canada",2016,"HDIr",108.24
"High income","North America","Canada",2016,"LEIr",108.39
"High income","North America","Canada",2016,"IncIr",105.9
"High income","North America","Canada",2016,"EduIr",110.42
"High income","North America","Canada",2016,"EPIr",121.02
"High income","North America","Canada",2016,"EFIr",112.39
"High income","North America","Canada",2016,"ESGcompr",112.58
"High income","North America","Canada",2017,"Urbanr",106.27
"High income","North America","Canada",2017,"AgingPopr",148.67
"High income","North America","Canada",2017,"FemLabr",107.26
"High income","North America","Canada",2017,"Unemployr",61.17
"High income","North America","Canada",2017,"GDPgr",1925.48
"High income","North America","Canada",2017,"GDPpcapr",210.5
"High income","North America","Canada",2017,"FDIGDPr",124.73
"High income","North America","Canada",2017,"FDIusdr",-2280.98
"High income","North America","Canada",2017,"HDIr",108.35
"High income","North America","Canada",2017,"LEIr",108.5
"High income","North America","Canada",2017,"IncIr",106.25
"High income","North America","Canada",2017,"EduIr",110.55
"High income","North America","Canada",2017,"EPIr",120.51
"High income","North America","Canada",2017,"EFIr",113.11
"High income","North America","Canada",2017,"ESGcompr",112.75
"High income","North America","Canada",2018,"Urbanr",106.27
"High income","North America","Canada",2018,"AgingPopr",152.21
"High income","North America","Canada",2018,"FemLabr",107.48
"High income","North America","Canada",2018,"Unemployr",56.31
"High income","North America","Canada",2018,"GDPgr",1222.81
"High income","North America","Canada",2018,"GDPpcapr",215.93
"High income","North America","Canada",2018,"FDIGDPr",191.71
"High income","North America","Canada",2018,"FDIusdr",-365.63
"High income","North America","Canada",2018,"HDIr",108.47
"High income","North America","Canada",2018,"LEIr",108.73
"High income","North America","Canada",2018,"IncIr",106.25
"High income","North America","Canada",2018,"EduIr",110.55
"High income","North America","Canada",2018,"EPIr",120.69
"High income","North America","Canada",2018,"EFIr",111.96
"High income","North America","Canada",2018,"ESGcompr",112.51
"High income","North America","Canada",2019,"Urbanr",106.4
"High income","North America","Canada",2019,"AgingPopr",155.75
"High income","North America","Canada",2019,"FemLabr",107.48
"High income","North America","Canada",2019,"Unemployr",54.37
"High income","North America","Canada",2019,"GDPgr",1005.66
"High income","North America","Canada",2019,"GDPpcapr",215.38
"High income","North America","Canada",2019,"FDIGDPr",194.78
"High income","North America","Canada",2019,"FDIusdr",-1204.12
"High income","North America","Canada",2019,"HDIr",NA
"High income","North America","Canada",2019,"LEIr",NA
"High income","North America","Canada",2019,"IncIr",NA
"High income","North America","Canada",2019,"EduIr",NA
"High income","North America","Canada",2019,"EPIr",121.01
"High income","North America","Canada",2019,"EFIr",111.96
"High income","North America","Canada",2019,"ESGcompr",NA
"Upper middle income","East Asia & Pacific","China",1990,"Urbanr",100
"Upper middle income","East Asia & Pacific","China",1990,"AgingPopr",100
"Upper middle income","East Asia & Pacific","China",1990,"FemLabr",100
"Upper middle income","East Asia & Pacific","China",1990,"Unemployr",100
"Upper middle income","East Asia & Pacific","China",1990,"GDPgr",100
"Upper middle income","East Asia & Pacific","China",1990,"GDPpcapr",100
"Upper middle income","East Asia & Pacific","China",1990,"FDIGDPr",100
"Upper middle income","East Asia & Pacific","China",1990,"FDIusdr",100
"Upper middle income","East Asia & Pacific","China",1990,"HDIr",100
"Upper middle income","East Asia & Pacific","China",1990,"LEIr",100
"Upper middle income","East Asia & Pacific","China",1990,"IncIr",100
"Upper middle income","East Asia & Pacific","China",1990,"EduIr",100
"Upper middle income","East Asia & Pacific","China",1990,"EPIr",100
"Upper middle income","East Asia & Pacific","China",1990,"EFIr",100
"Upper middle income","East Asia & Pacific","China",1990,"ESGcompr",100
"Upper middle income","East Asia & Pacific","China",1991,"Urbanr",103.41
"Upper middle income","East Asia & Pacific","China",1991,"AgingPopr",101.79
"Upper middle income","East Asia & Pacific","China",1991,"FemLabr",100
"Upper middle income","East Asia & Pacific","China",1991,"Unemployr",100
"Upper middle income","East Asia & Pacific","China",1991,"GDPgr",237.88
"Upper middle income","East Asia & Pacific","China",1991,"GDPpcapr",104.8
"Upper middle income","East Asia & Pacific","China",1991,"FDIGDPr",117.85
"Upper middle income","East Asia & Pacific","China",1991,"FDIusdr",129.96
"Upper middle income","East Asia & Pacific","China",1991,"HDIr",101.6
"Upper middle income","East Asia & Pacific","China",1991,"LEIr",100.26
"Upper middle income","East Asia & Pacific","China",1991,"IncIr",102.67
"Upper middle income","East Asia & Pacific","China",1991,"EduIr",101.48
"Upper middle income","East Asia & Pacific","China",1991,"EPIr",100
"Upper middle income","East Asia & Pacific","China",1991,"EFIr",100
"Upper middle income","East Asia & Pacific","China",1991,"ESGcompr",100.55
"Upper middle income","East Asia & Pacific","China",1992,"Urbanr",106.82
"Upper middle income","East Asia & Pacific","China",1992,"AgingPopr",103.57
"Upper middle income","East Asia & Pacific","China",1992,"FemLabr",100
"Upper middle income","East Asia & Pacific","China",1992,"Unemployr",100
"Upper middle income","East Asia & Pacific","China",1992,"GDPgr",363.85
"Upper middle income","East Asia & Pacific","China",1992,"GDPpcapr",115.28
"Upper middle income","East Asia & Pacific","China",1992,"FDIGDPr",270.43
"Upper middle income","East Asia & Pacific","China",1992,"FDIusdr",269.33
"Upper middle income","East Asia & Pacific","China",1992,"HDIr",103.79
"Upper middle income","East Asia & Pacific","China",1992,"LEIr",100.4
"Upper middle income","East Asia & Pacific","China",1992,"IncIr",107.04
"Upper middle income","East Asia & Pacific","China",1992,"EduIr",103.7
"Upper middle income","East Asia & Pacific","China",1992,"EPIr",100
"Upper middle income","East Asia & Pacific","China",1992,"EFIr",100
"Upper middle income","East Asia & Pacific","China",1992,"ESGcompr",101.35
"Upper middle income","East Asia & Pacific","China",1993,"Urbanr",110.23
"Upper middle income","East Asia & Pacific","China",1993,"AgingPopr",105.36
"Upper middle income","East Asia & Pacific","China",1993,"FemLabr",99.78
"Upper middle income","East Asia & Pacific","China",1993,"Unemployr",112.5
"Upper middle income","East Asia & Pacific","China",1993,"GDPgr",354.93
"Upper middle income","East Asia & Pacific","China",1993,"GDPpcapr",118.72
"Upper middle income","East Asia & Pacific","China",1993,"FDIGDPr",640.26
"Upper middle income","East Asia & Pacific","China",1993,"FDIusdr",869.97
"Upper middle income","East Asia & Pacific","China",1993,"HDIr",105.79
"Upper middle income","East Asia & Pacific","China",1993,"LEIr",100.66
"Upper middle income","East Asia & Pacific","China",1993,"IncIr",111.41
"Upper middle income","East Asia & Pacific","China",1993,"EduIr",105.43
"Upper middle income","East Asia & Pacific","China",1993,"EPIr",100
"Upper middle income","East Asia & Pacific","China",1993,"EFIr",100
"Upper middle income","East Asia & Pacific","China",1993,"ESGcompr",102.12
"Upper middle income","East Asia & Pacific","China",1994,"Urbanr",113.64
"Upper middle income","East Asia & Pacific","China",1994,"AgingPopr",107.14
"Upper middle income","East Asia & Pacific","China",1994,"FemLabr",99.78
"Upper middle income","East Asia & Pacific","China",1994,"Unemployr",120.83
"Upper middle income","East Asia & Pacific","China",1994,"GDPgr",334.06
"Upper middle income","East Asia & Pacific","China",1994,"GDPpcapr",148.95
"Upper middle income","East Asia & Pacific","China",1994,"FDIGDPr",619.59
"Upper middle income","East Asia & Pacific","China",1994,"FDIusdr",1196.35
"Upper middle income","East Asia & Pacific","China",1994,"HDIr",107.19
"Upper middle income","East Asia & Pacific","China",1994,"LEIr",101.06
"Upper middle income","East Asia & Pacific","China",1994,"IncIr",115.53
"Upper middle income","East Asia & Pacific","China",1994,"EduIr",105.43
"Upper middle income","East Asia & Pacific","China",1994,"EPIr",100
"Upper middle income","East Asia & Pacific","China",1994,"EFIr",100
"Upper middle income","East Asia & Pacific","China",1994,"ESGcompr",102.7
"Upper middle income","East Asia & Pacific","China",1995,"Urbanr",117.42
"Upper middle income","East Asia & Pacific","China",1995,"AgingPopr",108.93
"Upper middle income","East Asia & Pacific","China",1995,"FemLabr",99.78
"Upper middle income","East Asia & Pacific","China",1995,"Unemployr",125
"Upper middle income","East Asia & Pacific","China",1995,"GDPgr",280.24
